secs, cad, hr, km, kph, nm,distance, alt,lat,lon, headwind, slope, temp, interval, lrbalance, lte, rte, lps, rps, smo2, thb, o2hb, hhb
,,,,,,2.42506,33.7,48.434326,-123.341103,,-0.540692,,,,,,,,,,,
,,,,,,2.43042,33.8,48.43432,-123.341175,,-0.192074,,,,,,,,,,,
,,,,,,2.43721,33.9,48.434323,-123.341267,,-0.0449183,,,,,,,,,,,
,,,,,,2.44372,34,48.434327,-123.341355,,0.241116,,,,,,,,,,,
,,,,,,2.48813,34.7,48.43435,-123.341956,,0.48562,,,,,,,,,,,
,,,,,,2.54998,35.1,48.434392,-123.342792,,0.672585,,,,,,,,,,,
,,,,,,2.55748,35.2,48.434399,-123.342893,,0.806064,,,,,,,,,,,
,,,,,,2.57968,35.3,48.434415,-123.343193,,1.06973,,,,,,,,,,,
,,,,,,2.60732,35.7,48.434468,-123.343559,,1.21446,,,,,,,,,,,
,,,,,,2.62545,36,48.434621,-123.343644,,1.37992,,,,,,,,,,,
,,,,,,2.63187,36,48.434678,-123.34363,,1.1986,,,,,,,,,,,
,,,,,,2.65779,36.4,48.434911,-123.34362,,1.16614,,,,,,,,,,,
,,,,,,2.69884,37.1,48.43528,-123.343603,,1.18951,,,,,,,,,,,
,,,,,,2.73347,37.7,48.435591,-123.343577,,1.20907,,,,,,,,,,,
,,,,,,2.73729,37.7,48.435624,-123.343591,,1.05146,,,,,,,,,,,
,,,,,,2.73932,37.7,48.435614,-123.343614,,0.98679,,,,,,,,,,,
,,,,,,2.74539,37.6,48.435561,-123.343634,,0.688708,,,,,,,,,,,
,,,,,,2.75507,37.5,48.435474,-123.343639,,0.540376,,,,,,,,,,,
,,,,,,2.78165,37,48.435235,-123.343643,,0.207514,,,,,,,,,,,
,,,,,,2.84236,36.1,48.434689,-123.343652,,-0.106173,,,,,,,,,,,
,,,,,,2.85828,35.9,48.434546,-123.343643,,-0.231843,,,,,,,,,,,
,,,,,,2.86196,35.8,48.434514,-123.34363,,-0.657524,,,,,,,,,,,
,,,,,,2.86512,35.8,48.434488,-123.343613,,-0.828047,,,,,,,,,,,
,,,,,,2.86876,35.7,48.434462,-123.343583,,-1.27593,,,,,,,,,,,
,,,,,,2.87283,35.6,48.434439,-123.34354,,-1.52134,,,,,,,,,,,
,,,,,,2.87726,35.5,48.434417,-123.34349,,-1.74727,,,,,,,,,,,
,,,,,,2.88861,35.4,48.434389,-123.343342,,-1.67074,,,,,,,,,,,
,,,,,,2.90203,35.3,48.434377,-123.343161,,-1.64196,,,,,,,,,,,
,,,,,,2.94993,35,48.434341,-123.342514,,-1.51646,,,,,,,,,,,
,,,,,,2.97418,34.9,48.434327,-123.342186,,-1.40947,,,,,,,,,,,
,,,,,,2.98218,34.8,48.434321,-123.342078,,-1.40887,,,,,,,,,,,
,,,,,,2.99024,34.7,48.434316,-123.341969,,-1.26157,,,,,,,,,,,
,,,,,,2.99814,34.6,48.434313,-123.341862,,-1.38814,,,,,,,,,,,
,,,,,,3.00641,34.5,48.43431,-123.34175,,-1.23441,,,,,,,,,,,
,,,,,,3.01417,34.3,48.434306,-123.341645,,-1.24677,,,,,,,,,,,
,,,,,,3.04499,33.8,48.434289,-123.341228,,-1.18306,,,,,,,,,,,
,,,,,,3.05219,33.7,48.434304,-123.341133,,-1.23379,,,,,,,,,,,
,,,,,,3.07238,33.7,48.434443,-123.340957,,-1.15927,,,,,,,,,,,
,,,,,,3.0863,33.8,48.434568,-123.340946,,-1.02482,,,,,,,,,,,
,,,,,,3.10154,34,48.434705,-123.340945,,-0.852291,,,,,,,,,,,
,,,,,,3.12456,34.2,48.434912,-123.340941,,-0.640339,,,,,,,,,,,
,,,,,,3.13212,34.3,48.43498,-123.34094,,-0.384034,,,,,,,,,,,
,,,,,,3.13957,34.3,48.435047,-123.340943,,-0.257468,,,,,,,,,,,
,,,,,,3.1468,34.4,48.435112,-123.340944,,0.00180726,,,,,,,,,,,
,,,,,,3.1537,34.5,48.435174,-123.340939,,0.404411,,,,,,,,,,,
,,,,,,3.1603,34.5,48.435233,-123.34093,,0.566631,,,,,,,,,,,
,,,,,,3.16702,34.6,48.435293,-123.340919,,0.854225,,,,,,,,,,,
,,,,,,3.17415,34.6,48.435357,-123.340912,,0.854225,,,,,,,,,,,
,,,,,,3.18138,34.7,48.435422,-123.340913,,0.920752,,,,,,,,,,,
,,,,,,3.19585,34.8,48.435552,-123.340921,,0.858587,,,,,,,,,,,
,,,,,,3.23388,35.2,48.435894,-123.340919,,0.876886,,,,,,,,,,,
,,,,,,3.24522,35.3,48.435996,-123.340916,,0.832791,,,,,,,,,,,
,,,,,,3.25013,35.3,48.43604,-123.340921,,0.832791,,,,,,,,,,,
,,,,,,3.2549,35.4,48.436081,-123.34094,,0.904102,,,,,,,,,,,
,,,,,,3.26027,35.5,48.436119,-123.340985,,0.945354,,,,,,,,,,,
,,,,,,3.2666,35.6,48.436151,-123.341056,,1.10328,,,,,,,,,,,
,,,,,,3.27358,35.6,48.436174,-123.341144,,0.954488,,,,,,,,,,,
,,,,,,3.28016,35.7,48.436187,-123.341231,,1.10649,,,,,,,,,,,
,,,,,,3.28676,35.8,48.436193,-123.34132,,1.11966,,,,,,,,,,,
