,distance
927,11302.5
928,11315.3
929,11328.5
930,11341.5
931,11354.7
932,11368.1
933,11381.6
934,11394.9
935,11408.1
936,11421.1
937,11434.0
938,11446.7
939,11459.3
940,11471.9
941,11484.3
942,11496.9
943,11508.7
944,11520.7
945,11532.2
946,11543.2
947,11553.6
948,11563.0
949,11571.8
950,11580.5
951,11588.9
952,11597.0
953,11605.7
954,11615.5
955,11626.0
956,11637.2
957,11648.9
958,11661.1
959,11673.4
960,11686.2
961,11698.6
962,11711.3
963,11723.9
964,11736.2
965,11748.3
966,11760.4
967,11772.3
968,11784.6
969,11796.8
970,11809.1
971,11821.5
972,11833.9
973,11846.1
974,11858.2
975,11870.6
976,11882.9
977,11895.4
978,11907.9
979,11920.5
980,11933.1
981,11945.6
982,11957.9
983,11970.5
984,11983.1
985,11995.6
986,12008.1
987,12020.6
988,12032.8
989,12045.1
990,12057.4
991,12069.8
992,12082.5
993,12095.3
994,12107.9
995,12120.3
996,12132.7
997,12145.0
998,12157.4
999,12170.2
1000,12183.3
1001,12196.2
1002,12209.3
1003,12222.4
1004,12235.8
1005,12249.1
1006,12262.3
1007,12275.8
1008,12289.4
1009,12302.8
1010,12316.0
1011,12329.3
1012,12342.3
1013,12354.9
1014,12366.8
1015,12379.1
1016,12391.3
1017,12403.7
1018,12415.6
1019,12427.7
1020,12440.1
1021,12453.0
1022,12466.1
1023,12479.1
1024,12491.9
1025,12505.1
1026,12517.9
1027,12530.4
1028,12542.6
1029,12553.8
1030,12563.9
1031,12572.6
1032,12580.5
1033,12588.3
1034,12596.0
1035,12604.2
1036,12613.2
1037,12623.2
1038,12633.6
1039,12644.6
1040,12655.9
1041,12668.0
1042,12680.1
1043,12692.9
1044,12705.5
1045,12718.1
1046,12731.1
1047,12744.1
1048,12757.0
1049,12769.6
1050,12781.9
1051,12793.8
1052,12805.2
1053,12816.0
1054,12826.7
1055,12837.4
1056,12848.7
1057,12860.2
1058,12871.7
1059,12883.8
1060,12896.1
1061,12908.6
1062,12921.4
1063,12934.1
1064,12947.3
1065,12960.7
1066,12973.9
1067,12986.7
1068,12999.2
1069,13011.3
1070,13023.6
1071,13036.0
1072,13048.9
1073,13061.8
1074,13075.1
1075,13088.3
1076,13101.4
1077,13114.5
1078,13127.5
1079,13140.4
1080,13153.2
1081,13166.0
1082,13178.8
1083,13191.6
1084,13204.5
1085,13217.2
1086,13229.9
1087,13242.6
1088,13255.3
1089,13268.2
1090,13281.1
1091,13294.0
1092,13307.0
1093,13320.2
1094,13333.2
1095,13346.4
1096,13359.6
1097,13372.8
1098,13386.0
1099,13399.2
